% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,% Silica Concentrate
"56,65","14,83","2969,8","474,569","397,085","9,62077","1,71086","249,935","250,636","248,95","3,54"
"60,24","8,87","3751,37","552,399","405,806","9,22732","1,76","250,697","255,399","251,949","1,3"
"60,24","8,87","3770,7","518,311","401,499","9,26991","1,75","250,455","251,752","251,873","2,08"
"48,81","25,31","3633,31","335,078","378,7503099631","10,1085","1,67378","299,487","254,001","302,563","1,45"
"59,89","8,98","794,536195122","561,523","400,664","9,39431","1,76","248,236","249,983","251,84","2,97"
"64,03","6,26","3284,79","384,122","401,3","10,2579","1,60925","299,496","304,261","298,98","1,18"
"64,03","6,26","3170,53","549,819","409,794","10,1778","1,65544","300,28","302,197","300,164","1,57"
"48,81","25,31","1352,3519047619","486,1","377,0509859155","9,44534","1,66639","299,332","295,906","297,766","5,52"
"57,46","10,8","3768,14","551,229","406,311","10,1642","1,71353","297,831","247,346","301,103","2,92"
"55,17","14,35","2383,35","549,648","397,651","9,60472","1,75152","248,592","249,936","248,41","4,9271992597"
"55,17","14,35","2395,98","475,757","397,976","9,17781","1,64777","249,035","254,889","248,426","4,5011906231"
"61,38","8,4","2394,53","544,339","408,484","9,80723","1,72958","199,722","195,195","201,929","4,28"
"64,03","6,26","2929,32","581,176","392,377","9,94861","1,70938","300,366","300,269","298,389","2,18"
"64,03","6,26","2267,34","537,631","398,074","9,72708","1,73235","257,059","275,819","250,269","5,05"
"59,22","8,43","2066,35","543,782","380,804","8,8655","1,69313","302,76","302,021","302,786","1,77"
"53,64","19,08","2466,48","578,712","398,688","10,0016","1,78971","300,529","307,275","299,869","3,33"
"59,21","9,69","2910,48","480,678","386,303","9,76343","1,68223","299,835","301,356","249,206","1,68"
"51,34","23,16","2468,811625","588,751","390,168","9,77017","1,76358","299,146","297,778","301,001","4,9133425798"
"48,81","25,31","4550,5","387,329","379,2211471429","9,74338","1,71653","299,311","302,3","300,938","1,41"
"56,39","13,53","2138,67","436,633","402,653","9,88441","1,73037","251,974","248,421","249,582","1,18"
"54,57","17,02","2848,64","439,453","399,647","9,33901","1,67741","298,553","297,482","299,048","2,19"
"64,03","6,26","3934,47","542,095","403,718","9,78122","1,73118","250,168","245,235","249,584","1,71"
"54,83","15,93","3339,2","537,192","390,234","8,755568915","1,68719","299,876","302,829","298,491","5,06"
"58,19","10,84","3335,25","489,5662192394","402,8813684211","8,92881","1,5379048551","250,269","247,852","249,39","1,01"
"57,46","10,8","4625,28","498,226","391,535","9,86923","1,70155","250,344","249,668","250,397","4,6909708738"
"51,93","21,05","3636,02","536,709","377,692","9,77665","1,73014","300,282","318,958","299,477","1,03"
"57,46","10,8","3054,69","278,931","379,6161148936","10,377","1,5396203231","299,487","245,654","301,025","2,18"
"55,8","13,07","2874,18","552,472","377,03","10,206","1,72585","300,832","299,013","298,871","3,654036061"
"64,03","6,26","3530,06","412,906","401,446","10,1654","1,71785","299,783","302,487","300,255","1,17"
"53,68","19,08","4647,56","608,487","412,8168421053","9,93129","1,71415","299,284","298,531","297,949","1,29"
"42,74","33,4","1531,91","522,245","385,903","9,54005","1,65348","299,44","301,225","300,806","2,59"
"56,47","13,93","1892,44","414,589","384,7266132597","9,89162","1,520937561","299,568","306,946","300,111","1,26"
