age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,160,1,999,0,nonexistent,-0.1,93.2,-42.0,4.245,5195.8,yes
24,technician,married,professional.course,no,yes,no,cellular,may,mon,342,4,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
60,retired,married,university.degree,unknown,yes,yes,cellular,aug,mon,146,3,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
28,self-employed,single,university.degree,no,no,no,cellular,jun,mon,373,2,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
32,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,326,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
39,admin.,married,professional.course,no,no,no,telephone,may,fri,299,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
32,blue-collar,single,basic.9y,no,yes,no,cellular,nov,thu,276,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,yes
37,unemployed,married,professional.course,unknown,no,no,telephone,jun,wed,42,16,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,admin.,single,university.degree,no,no,yes,cellular,aug,tue,35,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,admin.,single,high.school,no,yes,no,cellular,nov,mon,333,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
26,services,married,high.school,no,yes,no,cellular,may,fri,104,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
41,admin.,married,university.degree,no,no,no,cellular,aug,thu,67,13,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
33,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,113,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
32,admin.,married,university.degree,no,no,no,cellular,jul,thu,46,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
50,technician,divorced,university.degree,no,yes,no,telephone,nov,fri,49,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
39,services,married,high.school,no,no,no,cellular,jul,wed,356,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
36,technician,married,university.degree,no,no,no,telephone,may,wed,648,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
49,services,divorced,basic.9y,no,no,no,telephone,may,mon,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
23,services,single,high.school,no,no,no,telephone,may,wed,107,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
32,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue,135,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
47,blue-collar,single,unknown,unknown,yes,no,cellular,jul,tue,213,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
54,technician,divorced,professional.course,no,yes,yes,cellular,jul,tue,797,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
28,admin.,single,university.degree,no,no,yes,cellular,may,wed,223,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
26,technician,single,professional.course,no,yes,no,cellular,may,thu,176,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
28,blue-collar,single,basic.4y,no,no,no,telephone,jun,tue,320,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
49,management,married,university.degree,no,no,no,telephone,may,mon,27,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
55,technician,married,unknown,no,no,no,cellular,jul,fri,173,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,management,married,university.degree,no,yes,no,cellular,nov,thu,83,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
